Date,Open,High,Low,Close,Adj Close,Volume
2021-05-27,64.500000,67.199997,63.700001,65.500000,64.166313,1279281
2021-05-28,66.000000,67.099998,65.900002,66.500000,65.145950,865223
2021-05-31,67.000000,69.500000,66.000000,68.000000,66.615410,1791152
2021-06-01,67.800003,68.900002,67.099998,68.099998,66.713371,1163000
2021-06-02,68.300003,68.900002,67.000000,68.000000,66.615410,1177893
2021-06-03,68.000000,68.800003,67.500000,67.599998,66.223549,881027
2021-06-04,68.000000,68.599998,67.500000,67.500000,66.125587,644200
2021-06-07,68.500000,68.500000,64.500000,67.500000,66.125587,964000
2021-06-08,68.300003,68.300003,67.199997,67.500000,66.125587,387059
2021-06-09,67.800003,68.199997,66.099998,67.300003,65.929665,457103
2021-06-10,67.199997,67.900002,66.599998,67.300003,65.929665,450912
2021-06-11,67.599998,70.900002,67.500000,68.500000,67.105225,1927381
2021-06-15,68.800003,70.099998,67.500000,68.699997,67.301147,737200
2021-06-16,68.699997,72.500000,68.000000,71.699997,70.240067,3060386
2021-06-17,71.500000,74.699997,70.400002,74.000000,72.493240,3681482
2021-06-18,74.000000,74.500000,73.000000,73.099998,71.611565,2752459
2021-06-21,72.800003,74.099998,70.400002,70.400002,68.966537,2344117
2021-06-22,71.900002,72.199997,70.000000,70.000000,68.574684,1294233
2021-06-23,70.800003,74.000000,70.199997,72.300003,70.827858,1987553
2021-06-24,73.400002,74.000000,72.000000,72.800003,71.317673,1427388
2021-06-25,72.900002,74.699997,72.199997,72.300003,70.827858,2262237
2021-06-28,72.500000,73.800003,71.500000,71.699997,70.240067,1314422
2021-06-29,72.000000,72.400002,69.400002,69.599998,68.182823,1799275
2021-06-30,69.900002,70.699997,66.900002,67.000000,65.635765,3238234
2021-07-01,67.099998,68.000000,65.199997,65.199997,63.872417,1630002
2021-07-02,66.699997,67.699997,65.400002,67.599998,66.223549,1148723
2021-07-05,67.000000,67.300003,65.500000,67.000000,67.000000,1147176
2021-07-06,67.000000,67.599998,66.000000,66.000000,66.000000,727964
2021-07-07,66.000000,66.800003,65.199997,65.300003,65.300003,729738
2021-07-08,65.400002,66.199997,65.000000,65.300003,65.300003,864948
2021-07-09,65.000000,65.900002,64.300003,64.400002,64.400002,792385
2021-07-12,64.800003,67.500000,64.199997,66.900002,66.900002,1777340
2021-07-13,67.000000,67.199997,64.800003,65.000000,65.000000,1374457
2021-07-14,65.900002,65.900002,62.700001,62.700001,62.700001,1347585
2021-07-15,62.700001,63.799999,62.000000,62.700001,62.700001,937146
2021-07-16,62.700001,65.199997,62.599998,62.599998,62.599998,1169981
2021-07-19,61.400002,62.799999,61.200001,62.200001,62.200001,1130518
2021-07-20,61.799999,61.799999,60.200001,60.299999,60.299999,818493
2021-07-21,60.599998,66.300003,60.400002,66.300003,66.300003,5251124
2021-07-22,70.400002,72.599998,68.300003,70.000000,70.000000,9717788
2021-07-23,71.500000,71.599998,68.000000,68.199997,68.199997,3257968
2021-07-26,68.000000,68.199997,66.699997,68.099998,68.099998,1548275
2021-07-27,68.900002,71.599998,67.500000,69.599998,69.599998,4724161
2021-07-28,68.599998,69.300003,63.299999,65.599998,65.599998,2443901
2021-07-29,65.699997,68.900002,65.199997,67.900002,67.900002,1704182
2021-07-30,67.000000,74.599998,66.900002,74.000000,74.000000,13482358
2021-08-02,73.099998,76.000000,71.199997,75.800003,75.800003,13144450
2021-08-03,75.400002,78.400002,74.699997,77.000000,77.000000,8607611
2021-08-04,77.000000,78.400002,74.000000,74.300003,74.300003,5770691
2021-08-05,74.300003,74.900002,71.500000,72.599998,72.599998,5248003
2021-08-06,72.500000,74.000000,71.599998,73.900002,73.900002,2955914
2021-08-09,75.000000,77.300003,73.199997,75.000000,75.000000,7630584
2021-08-10,75.000000,75.000000,67.599998,68.199997,68.199997,8125994
2021-08-11,68.199997,68.199997,62.400002,64.000000,64.000000,5014066
2021-08-12,64.000000,65.400002,63.500000,63.700001,63.700001,1775826
2021-08-13,63.000000,67.199997,62.700001,65.199997,65.199997,4360600
2021-08-16,65.599998,69.800003,64.599998,69.300003,69.300003,3573612
2021-08-17,69.300003,69.300003,69.300003,69.300003,69.300003,0
2021-08-18,65.000000,70.699997,64.500000,70.199997,70.199997,3267661
2021-08-19,69.500000,72.400002,68.000000,68.000000,68.000000,3002000
2021-08-20,68.000000,69.099998,66.300003,67.500000,67.500000,1246200
2021-08-23,69.000000,69.800003,67.699997,68.400002,68.400002,1516544
2021-08-24,69.099998,69.500000,67.599998,67.699997,67.699997,1128803
2021-08-25,68.000000,69.099998,67.199997,67.599998,67.599998,1202050
2021-08-26,67.599998,68.699997,66.000000,66.000000,66.000000,1068550
2021-08-27,66.000000,67.199997,64.500000,65.699997,65.699997,1973152
2021-08-30,65.800003,67.699997,65.400002,67.699997,67.699997,1503523
2021-08-31,67.099998,68.599998,67.099998,67.800003,67.800003,1119000
2021-09-01,68.000000,72.500000,67.800003,71.500000,71.500000,4869708
2021-09-02,71.000000,72.199997,69.699997,69.699997,69.699997,2529799
2021-09-03,70.900002,71.500000,69.699997,70.300003,70.300003,1443799
2021-09-06,71.500000,75.000000,69.900002,70.500000,70.500000,5979296
2021-09-07,70.500000,71.199997,66.800003,67.500000,67.500000,2726093
2021-09-08,67.500000,67.500000,65.599998,65.900002,65.900002,2015649
2021-09-09,65.199997,67.500000,65.099998,67.300003,67.300003,648338
2021-09-10,68.500000,69.199997,67.099998,67.699997,67.699997,1403642
2021-09-13,68.500000,68.599998,66.500000,67.199997,67.199997,755450
2021-09-14,67.099998,68.800003,67.099998,67.699997,67.699997,1081800
2021-09-15,68.199997,69.500000,67.000000,68.000000,68.000000,1309533
2021-09-16,68.000000,68.599998,66.400002,67.000000,67.000000,743111
2021-09-17,67.000000,67.900002,66.800003,67.900002,67.900002,403130
2021-09-22,66.400002,67.400002,66.199997,67.000000,67.000000,567150
2021-09-23,67.800003,68.300003,66.900002,67.599998,67.599998,598164
2021-09-24,68.000000,68.300003,67.099998,67.099998,67.099998,712182
2021-09-27,67.099998,67.599998,66.500000,67.500000,67.500000,528318
2021-09-28,67.500000,67.500000,66.400002,66.599998,66.599998,451160
2021-09-29,65.199997,65.800003,61.900002,62.000000,62.000000,2634367
2021-09-30,62.000000,63.200001,60.799999,62.400002,62.400002,1685402
2021-10-01,62.099998,62.099998,57.000000,58.500000,58.500000,2809786
2021-10-04,58.599998,59.500000,55.599998,56.500000,56.500000,1593300
2021-10-05,55.500000,58.000000,54.500000,57.900002,57.900002,1132310
2021-10-06,57.900002,59.000000,56.000000,56.500000,56.500000,645819
2021-10-07,57.099998,58.099998,56.799999,57.000000,57.000000,989172
2021-10-08,57.400002,61.900002,57.400002,59.000000,59.000000,2135816
2021-10-12,59.000000,59.299999,56.200001,56.599998,56.599998,1483739
2021-10-13,57.500000,57.799999,56.099998,56.599998,56.599998,734160
2021-10-14,57.299999,57.400002,55.400002,56.000000,56.000000,875022
2021-10-15,56.599998,56.700001,53.900002,54.400002,54.400002,2809454
